course_offering_id,course_version_id,term_id,section_id,department_id,enrolled_count,delivery_mode,status
5e751c7f-71a1-4bad-bd08-d30d5d06b4fe,4f911d5e-bb45-434e-84bc-a7bfc57dde11,ad07d73c-e291-486b-b9a2-9bb35431f855,3d311f6e-8e38-446d-92f5-daf632701fa5,435ce33d-8826-4cae-a0ba-9cfc5ebd4a6f,47,OFFLINE,PLANNED
2a3471b4-3265-4160-9266-1afacc01c4ed,309271df-5df3-44c0-9519-1a6cb6f8369d,633cf081-0411-4927-af1f-adf3757df829,bfa94bce-da65-4dc3-b8bc-28ec96305103,5b546b83-b432-4d59-8ee9-cf751aed229c,46,OFFLINE,PLANNED
ad6b3c97-50e9-4bd1-a867-637756f05553,78805f0c-7438-47bb-9c87-2ff64a67a37c,ad07d73c-e291-486b-b9a2-9bb35431f855,c25e7ea3-9905-4330-be94-6019a5342dbd,435ce33d-8826-4cae-a0ba-9cfc5ebd4a6f,61,OFFLINE,PLANNED
471c82ce-533f-42f6-88bb-9fd1f44235bb,e111af28-5a83-439c-815f-fbcd3dbe5875,633cf081-0411-4927-af1f-adf3757df829,53623008-46d2-47c7-a21f-4d76b2271c67,b2a014e0-16d2-48bc-89bd-1e8222a90bac,64,OFFLINE,PLANNED
14fff10c-b1ea-4975-b3d9-a64066a7cfbe,d01dc7ad-af78-4748-92f0-ccc474f3a152,ad07d73c-e291-486b-b9a2-9bb35431f855,7e62cdbd-af72-44ce-86f7-b3a7d270dd83,435ce33d-8826-4cae-a0ba-9cfc5ebd4a6f,59,OFFLINE,PLANNED
49739041-8966-4bec-a60d-7d5d44e883f7,15805ee1-baf9-47d7-b479-ba3151fcbc95,633cf081-0411-4927-af1f-adf3757df829,feac46cd-1645-4be2-83ae-f900a53f40fa,19c88429-ca3a-4e68-b4f8-fab1adf20ac0,57,HYBRID,PLANNED
73304c2d-d589-42fa-b0f4-8800af4cb539,311d0215-26db-4a40-96ec-47a9ccfda714,ad07d73c-e291-486b-b9a2-9bb35431f855,8a1ec2c7-3b93-4e1e-aeae-36c5a4b0d372,5b546b83-b432-4d59-8ee9-cf751aed229c,44,OFFLINE,PLANNED
5e3acd3c-b8e5-4546-af4d-808a910463a4,0489e37d-babe-44d9-a1a2-00bfd108be27,633cf081-0411-4927-af1f-adf3757df829,2e1afa13-d10e-461e-80a4-86bedfc2acf7,b2a014e0-16d2-48bc-89bd-1e8222a90bac,62,OFFLINE,PLANNED
71da39f9-b9b4-42e2-b450-a8ceab3700b3,4f911d5e-bb45-434e-84bc-a7bfc57dde11,ad07d73c-e291-486b-b9a2-9bb35431f855,8ec37cd3-a626-427a-b5f6-3a39cc3ba616,435ce33d-8826-4cae-a0ba-9cfc5ebd4a6f,50,OFFLINE,PLANNED
af5397dd-a95c-4d2a-83ce-9e91add54290,70a3fca6-3c6a-44e1-a5a5-235c7a28710b,633cf081-0411-4927-af1f-adf3757df829,5fa5510b-3046-4658-91bd-1a7e280fe724,fdf5e9b3-106d-4471-914c-2869ff96e55a,58,OFFLINE,PLANNED
