batch_id,programme_id,regulation_id,admission_year,label,expected_graduation_year,status
9c8c23f7-8b4a-41fd-aab5-bc6e82f02e85,36864f3f-7338-45b8-8aa9-841b967276f0,43b50394-4797-4640-99f2-ecc4077c47e0,2023,CSE-2023,2027,ACTIVE
9b0f1330-a8c6-4866-bceb-3a0704b8a306,36864f3f-7338-45b8-8aa9-841b967276f0,43b50394-4797-4640-99f2-ecc4077c47e0,2024,CSE-2024,2028,ACTIVE
7616bfd9-9dc2-4397-b82d-957034ae2843,36864f3f-7338-45b8-8aa9-841b967276f0,43b50394-4797-4640-99f2-ecc4077c47e0,2025,CSE-2025,2029,ACTIVE
d0fce649-d431-421a-ab11-5aa6c7494963,36864f3f-7338-45b8-8aa9-841b967276f0,3f88717f-b7a1-4e0b-8f04-d9dc80c2fa70,2026,CSE-2026,2030,ACTIVE
74805f00-9346-4c86-aebb-9b8baefb27de,9a4de9c5-a6df-4c8d-a29c-40a23cdeeca7,3f88717f-b7a1-4e0b-8f04-d9dc80c2fa70,2023,AIML-2023,2027,ACTIVE
7e9e6253-9879-4f0d-9b8b-ee60db516d79,9a4de9c5-a6df-4c8d-a29c-40a23cdeeca7,43b50394-4797-4640-99f2-ecc4077c47e0,2024,AIML-2024,2028,ACTIVE
971e0820-315b-46a0-bc24-9c441c21b993,9a4de9c5-a6df-4c8d-a29c-40a23cdeeca7,3f88717f-b7a1-4e0b-8f04-d9dc80c2fa70,2025,AIML-2025,2029,ACTIVE
b8f79540-650c-4b96-a5a1-09898ffd5994,9a4de9c5-a6df-4c8d-a29c-40a23cdeeca7,3f88717f-b7a1-4e0b-8f04-d9dc80c2fa70,2026,AIML-2026,2030,ACTIVE
5bdca8ce-8f8c-4eea-85f9-33b2dcfd5c61,a5b1cd46-f3aa-47e6-aca7-86c3c484dc9e,43b50394-4797-4640-99f2-ecc4077c47e0,2023,ECE-2023,2027,ACTIVE
aadff685-be08-4a28-85b2-913a0382cfd2,a5b1cd46-f3aa-47e6-aca7-86c3c484dc9e,0b6b5244-a939-4d30-8839-2f6617d9b6c1,2024,ECE-2024,2028,ACTIVE
035c7304-9713-41a8-a3a5-1aa126b42a8c,a5b1cd46-f3aa-47e6-aca7-86c3c484dc9e,43b50394-4797-4640-99f2-ecc4077c47e0,2025,ECE-2025,2029,ACTIVE
48c157ed-9e28-4d1b-87d4-ca3015653351,a5b1cd46-f3aa-47e6-aca7-86c3c484dc9e,0b6b5244-a939-4d30-8839-2f6617d9b6c1,2026,ECE-2026,2030,ACTIVE
e38a4e8d-77eb-4cc3-8db2-551d2b6fd461,e80b66b0-2887-4198-a982-098e7b2951d1,0b6b5244-a939-4d30-8839-2f6617d9b6c1,2023,EEE-2023,2027,ACTIVE
abbb8ccc-9497-439f-bb77-0bbe5375512c,e80b66b0-2887-4198-a982-098e7b2951d1,3f88717f-b7a1-4e0b-8f04-d9dc80c2fa70,2024,EEE-2024,2028,ACTIVE
95b488f7-0654-43bf-abf9-9bd2a391247a,e80b66b0-2887-4198-a982-098e7b2951d1,0b6b5244-a939-4d30-8839-2f6617d9b6c1,2025,EEE-2025,2029,ACTIVE
97436db5-98a4-4300-b068-51220d15ccf3,e80b66b0-2887-4198-a982-098e7b2951d1,0b6b5244-a939-4d30-8839-2f6617d9b6c1,2026,EEE-2026,2030,ACTIVE
1adf053d-daa5-42e8-8c1a-cae0a9d717bc,b596e39f-e01e-419f-a9a6-959ec0209866,0b6b5244-a939-4d30-8839-2f6617d9b6c1,2023,ME-2023,2027,ACTIVE
42b91224-97ac-4eeb-87db-eb198c4e8bfa,b596e39f-e01e-419f-a9a6-959ec0209866,43b50394-4797-4640-99f2-ecc4077c47e0,2024,ME-2024,2028,ACTIVE
5562a8c4-9446-4a2c-a4df-f3083e574464,b596e39f-e01e-419f-a9a6-959ec0209866,0b6b5244-a939-4d30-8839-2f6617d9b6c1,2025,ME-2025,2029,ACTIVE
5bf27b8d-eb3e-4d7c-949b-65898644fc39,b596e39f-e01e-419f-a9a6-959ec0209866,3f88717f-b7a1-4e0b-8f04-d9dc80c2fa70,2026,ME-2026,2030,ACTIVE
368d228f-eee0-4272-854b-0b8e9feecbac,81b6c9ce-8b87-4bd8-a96a-f864f4820e56,0b6b5244-a939-4d30-8839-2f6617d9b6c1,2023,CE-2023,2027,ACTIVE
ea916850-bd15-4c8c-a255-7d9ddb1dcd9f,81b6c9ce-8b87-4bd8-a96a-f864f4820e56,3f88717f-b7a1-4e0b-8f04-d9dc80c2fa70,2024,CE-2024,2028,ACTIVE
c9a8734c-ca36-444b-b536-8b46938b53de,81b6c9ce-8b87-4bd8-a96a-f864f4820e56,0b6b5244-a939-4d30-8839-2f6617d9b6c1,2025,CE-2025,2029,ACTIVE
a2c457bc-0fae-49eb-ac4d-a0cff94d7f60,81b6c9ce-8b87-4bd8-a96a-f864f4820e56,43b50394-4797-4640-99f2-ecc4077c47e0,2026,CE-2026,2030,ACTIVE
62d9ef00-b7c1-40bb-83f2-a888ff9e7c38,ca586e0e-3f8b-4f91-a893-0f644ead1c7b,0b6b5244-a939-4d30-8839-2f6617d9b6c1,2023,MCA-2023,2027,ACTIVE
7021e7fb-2bb2-41ef-9f05-eb94d8610b18,ca586e0e-3f8b-4f91-a893-0f644ead1c7b,43b50394-4797-4640-99f2-ecc4077c47e0,2024,MCA-2024,2028,ACTIVE
d197b29b-5912-44cb-b6ad-8be933d4b455,ca586e0e-3f8b-4f91-a893-0f644ead1c7b,3f88717f-b7a1-4e0b-8f04-d9dc80c2fa70,2025,MCA-2025,2029,ACTIVE
491441c4-eede-425e-9454-0211394a5148,ca586e0e-3f8b-4f91-a893-0f644ead1c7b,3f88717f-b7a1-4e0b-8f04-d9dc80c2fa70,2026,MCA-2026,2030,ACTIVE
ed14db2f-315e-47c6-9bbf-76d160bbc6e6,d34e75d8-d196-4e88-814e-2fd1a8cb2788,0b6b5244-a939-4d30-8839-2f6617d9b6c1,2023,MBA-2023,2027,ACTIVE
c8936619-94d8-4286-9416-9a1a049d4a42,d34e75d8-d196-4e88-814e-2fd1a8cb2788,43b50394-4797-4640-99f2-ecc4077c47e0,2024,MBA-2024,2028,ACTIVE
4ce90125-112e-42fb-96df-09b4aed86e54,d34e75d8-d196-4e88-814e-2fd1a8cb2788,43b50394-4797-4640-99f2-ecc4077c47e0,2025,MBA-2025,2029,ACTIVE
11de4ef1-4374-4a5d-958d-95cf5d93691c,d34e75d8-d196-4e88-814e-2fd1a8cb2788,43b50394-4797-4640-99f2-ecc4077c47e0,2026,MBA-2026,2030,ACTIVE
