section_id,batch_id,code,year_of_study,strength,class_advisor_faculty_id,is_active
f9f5c4cb-ee8a-4741-97b6-9ce5a4282e49,9c8c23f7-8b4a-41fd-aab5-bc6e82f02e85,A,4,44,746b095d-cce8-464b-9ddf-a57c30ece720,True
0db64729-fb0a-4904-92f1-1eed0ba81087,9c8c23f7-8b4a-41fd-aab5-bc6e82f02e85,B,4,36,85d65fb5-7be7-4670-a2e6-8d2a4513f9ed,True
12c1f958-d6dc-481f-8c98-8cb3bd350f55,9c8c23f7-8b4a-41fd-aab5-bc6e82f02e85,C,4,68,2498ec87-c73e-4151-81fa-377a619dbdce,True
5fe34712-4e82-499d-bee6-bd616016d402,9b0f1330-a8c6-4866-bceb-3a0704b8a306,A,3,45,6f670abb-3fb4-433b-8dd4-885639979659,True
f6017a08-6842-4cf6-874b-87c54ee3a4c4,9b0f1330-a8c6-4866-bceb-3a0704b8a306,B,3,53,b8cfe21d-f855-43fd-8286-d915ae35bd29,True
5644bf13-62c7-4e23-8da5-287174353f28,9b0f1330-a8c6-4866-bceb-3a0704b8a306,C,3,52,69253bea-440f-4ffd-b887-4510628795b3,True
79ecb6ec-027f-43bf-b42d-7f04436a6af7,7616bfd9-9dc2-4397-b82d-957034ae2843,A,2,35,3b983815-8c39-4927-b404-4826cb3eb559,True
038bfc49-1c4e-49aa-9c71-161226132465,7616bfd9-9dc2-4397-b82d-957034ae2843,B,2,59,fe0aa61e-e5c1-45b0-a5fc-1d69ce7c163a,True
43b1782b-4c75-4c89-8fd6-0ff6e1bf36eb,7616bfd9-9dc2-4397-b82d-957034ae2843,C,2,52,fe0aa61e-e5c1-45b0-a5fc-1d69ce7c163a,True
72cc5173-8eed-476d-ab74-72dfb0f340d7,d0fce649-d431-421a-ab11-5aa6c7494963,A,1,58,1f314dce-2088-4551-99f0-30368ccb28c5,True
b01d90c9-063e-468c-9aa6-584842cf6ba5,d0fce649-d431-421a-ab11-5aa6c7494963,B,1,41,1fed2e11-0764-4dbe-8f3d-f34815704a6d,True
