course_version_id,course_id,regulation_id,programme_id,course_code,term_no,year_of_study,category,course_type,is_elective,credits,lecture_hours,tutorial_hours,practical_hours,status
6799e8f6-774a-4911-9b7c-00f839d34167,df408ed7-6b76-4dbf-ac3f-b935ef182303,64a514c2-b06a-485d-8873-fd88161d4c06,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS001,1,1,BASIC_SCIENCE,THEORY,False,3,3,1,1,ACTIVE
f5547684-a79c-4e04-ac42-1fb74fb6c267,df408ed7-6b76-4dbf-ac3f-b935ef182303,77c797c5-6c72-40c8-9d75-f2e1b35bedc5,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS001,2,1,BASIC_SCIENCE,THEORY,False,3,3,1,1,ACTIVE
c02ee879-2dad-4c38-a7e0-de17782e379b,df408ed7-6b76-4dbf-ac3f-b935ef182303,d7b5565b-ba78-4e99-91bb-0bf66b5c5bf2,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS001,1,1,BASIC_SCIENCE,THEORY,False,3,3,1,1,ACTIVE
47dcb40f-8d9a-4603-a473-64930a4f5b67,a7206489-0b40-4c39-ac00-d4591bc3ab82,64a514c2-b06a-485d-8873-fd88161d4c06,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS002,1,2,PROFESSIONAL_CORE,THEORY,False,3,3,1,1,ACTIVE
62d28fda-668a-45aa-b802-2363decbce81,a7206489-0b40-4c39-ac00-d4591bc3ab82,77c797c5-6c72-40c8-9d75-f2e1b35bedc5,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS002,2,2,PROFESSIONAL_CORE,THEORY,False,3,3,1,1,ACTIVE
91cb720b-4b57-4c01-969e-7e2f300a125e,a7206489-0b40-4c39-ac00-d4591bc3ab82,d7b5565b-ba78-4e99-91bb-0bf66b5c5bf2,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS002,1,2,PROFESSIONAL_CORE,THEORY,False,3,3,1,1,ACTIVE
e9c12a30-9f10-477e-8afe-7002e4d93d4f,935fdb5f-568a-48e2-b8a5-e9086c5aef69,64a514c2-b06a-485d-8873-fd88161d4c06,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS003,1,3,PROFESSIONAL_CORE,THEORY,False,3,3,1,1,ACTIVE
ef750dab-b64b-43bb-acb2-ea5e6eece7bd,935fdb5f-568a-48e2-b8a5-e9086c5aef69,77c797c5-6c72-40c8-9d75-f2e1b35bedc5,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS003,2,3,PROFESSIONAL_CORE,THEORY,False,3,3,1,1,ACTIVE
d17fc518-7215-4dc1-bd9d-0e907368ab33,935fdb5f-568a-48e2-b8a5-e9086c5aef69,d7b5565b-ba78-4e99-91bb-0bf66b5c5bf2,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS003,1,3,PROFESSIONAL_CORE,THEORY,False,3,3,1,1,ACTIVE
c89c8741-cd58-4736-8b32-d7277146d6d5,a269a360-c017-4e91-a0f9-ba5b94ff2ab3,64a514c2-b06a-485d-8873-fd88161d4c06,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS004,1,4,PROFESSIONAL_CORE,THEORY,True,3,3,1,1,ACTIVE
21e6bb39-6de4-4a82-9e7b-c323cb99e0e7,a269a360-c017-4e91-a0f9-ba5b94ff2ab3,77c797c5-6c72-40c8-9d75-f2e1b35bedc5,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS004,2,4,PROFESSIONAL_CORE,THEORY,True,3,3,1,1,ACTIVE
7c9aba45-eb4f-4376-90b5-f922dd439c37,a269a360-c017-4e91-a0f9-ba5b94ff2ab3,d7b5565b-ba78-4e99-91bb-0bf66b5c5bf2,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS004,1,4,PROFESSIONAL_CORE,THEORY,True,3,3,1,1,ACTIVE
14921cbe-9d09-4591-b0ab-34a8f137bee7,fb636581-4478-46d8-a5f3-f783e47d5df8,64a514c2-b06a-485d-8873-fd88161d4c06,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS005,1,1,BASIC_SCIENCE,THEORY,False,3,3,1,1,ACTIVE
54149fa1-ecfe-4269-bcf1-63298de5ef42,fb636581-4478-46d8-a5f3-f783e47d5df8,77c797c5-6c72-40c8-9d75-f2e1b35bedc5,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS005,2,1,BASIC_SCIENCE,THEORY,False,3,3,1,1,ACTIVE
e111af28-5a83-439c-815f-fbcd3dbe5875,fb636581-4478-46d8-a5f3-f783e47d5df8,d7b5565b-ba78-4e99-91bb-0bf66b5c5bf2,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS005,1,1,BASIC_SCIENCE,THEORY,False,3,3,1,1,ACTIVE
bc3f51eb-2446-44f7-9365-abf3ec668a15,89743945-fda1-45e3-b342-ce1e380fbb95,64a514c2-b06a-485d-8873-fd88161d4c06,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS006,1,2,PROFESSIONAL_CORE,THEORY,False,3,3,1,1,ACTIVE
0879d49d-6a90-4d80-a101-b72b879e8e0d,89743945-fda1-45e3-b342-ce1e380fbb95,77c797c5-6c72-40c8-9d75-f2e1b35bedc5,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS006,2,2,PROFESSIONAL_CORE,THEORY,False,3,3,1,1,ACTIVE
d53ad329-b3b0-4a87-adb9-a55873045d47,89743945-fda1-45e3-b342-ce1e380fbb95,d7b5565b-ba78-4e99-91bb-0bf66b5c5bf2,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS006,1,2,PROFESSIONAL_CORE,THEORY,False,3,3,1,1,ACTIVE
7f25c581-7155-43d9-b89b-ba82c7ceabaf,a9c3921e-2d5c-44c4-b1dc-9b9cf0fe2879,64a514c2-b06a-485d-8873-fd88161d4c06,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS007,1,3,PROFESSIONAL_CORE,THEORY,False,3,3,1,1,ACTIVE
75ddba40-d9d9-447d-a710-4588d80855fa,a9c3921e-2d5c-44c4-b1dc-9b9cf0fe2879,77c797c5-6c72-40c8-9d75-f2e1b35bedc5,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS007,2,3,PROFESSIONAL_CORE,THEORY,False,3,3,1,1,ACTIVE
0489e37d-babe-44d9-a1a2-00bfd108be27,a9c3921e-2d5c-44c4-b1dc-9b9cf0fe2879,d7b5565b-ba78-4e99-91bb-0bf66b5c5bf2,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS007,1,3,PROFESSIONAL_CORE,THEORY,False,3,3,1,1,ACTIVE
2a149607-0cff-4c64-934f-5dd02dd802b4,f5dad4f2-1976-4682-bb4c-a402c2b1eab2,64a514c2-b06a-485d-8873-fd88161d4c06,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS008,1,4,PROFESSIONAL_CORE,THEORY,True,3,3,1,1,ACTIVE
b06d059f-4910-45f1-ac35-613f8fbf7a1f,f5dad4f2-1976-4682-bb4c-a402c2b1eab2,77c797c5-6c72-40c8-9d75-f2e1b35bedc5,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS008,2,4,PROFESSIONAL_CORE,THEORY,True,3,3,1,1,ACTIVE
61a3f600-341d-4a93-baf3-14cacbe42a84,f5dad4f2-1976-4682-bb4c-a402c2b1eab2,d7b5565b-ba78-4e99-91bb-0bf66b5c5bf2,562580de-ce33-4c32-a1f1-f9b1f299f57e,CS008,1,4,PROFESSIONAL_CORE,THEORY,True,3,3,1,1,ACTIVE
